Subject,m1,m2,m3,m4,m5,s1,s2,s3,s4,s5,First_Condition
1,363,363,282,294,332,279,307,296,367,307,Silence
2,328,271,284,298,291,278,270,412,356,165,Silence
3,332,329,293,318,313,313,281,292,337,302,Music
4,297,287,297,298,287,252,292,289,303,280,Silence
5,322,280,291,432,320,304,301,288,316,295,Music
6,294,283,324,348,314,288,349,324,312,322,Music
7,322,268,282,264,279,290,244,288,330,303,Silence
8,279,324,315,279,299,313,296,272,315,294,Slience
9,428,369,294,339,350,270,240,221,240,245,Music
10,285,299,296,268,280,325,291,325,281,301,Music
11,361,334,391,287,329,351,272,349,309,375,
12,480,329,346,323,357,308,278,301,297,403,
13,226,255,250,277,248,268,241,277,244,265,
14,304,321,348,301,310,289,316,295,261,281,
15,273,303,307,337,299,339,301,310,336,394,
16,265,231,222,259,249,260,268,245,219,247,
17,242,256,335,233,267,242,285,283,361,296,
18,287,365,482,258,407,253,326,304,240,296,
